,warning_id,warning_text,ftrapv_log_count,frwapv_log_count,Wnarrowing_log_count
0,0,"INFO: From Compiling tensorflow/lite/arena_planner.cc [for host]:
tensorflow/lite/arena_planner.cc: In member function 'virtual TfLiteStatus tflite::ArenaPlanner::ExecuteAllocations(int, int)':
tensorflow/lite/arena_planner.cc:200:33: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'int' [-Wsign-compare]
  200 |   for (size_t i = first_node; i <= last_node && i < graph_info_->num_nodes();
      |                               ~~^~~~~~~~~~~~
At global scope:
cc1plus: warning: unrecognized command line option '-Wno-extern-c-compat'
",2,2,2
1,1,"INFO: From Compiling tensorflow/core/platform/protobuf.cc:
tensorflow/core/platform/protobuf.cc: In member function 'virtual bool tensorflow::TStringOutputStream::Next(void**, int*)':
tensorflow/core/platform/protobuf.cc:29:16: warning: comparison of integer expressions of different signedness: 'int' and 'size_t' {aka 'long unsigned int'} [-Wsign-compare]
   29 |   if (old_size < target_->capacity()) {
      |       ~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~
",2,1,2
2,2,"INFO: From Compiling tensorflow/core/platform/protobuf.cc [for host]:
tensorflow/core/platform/protobuf.cc: In member function 'virtual bool tensorflow::TStringOutputStream::Next(void**, int*)':
tensorflow/core/platform/protobuf.cc:29:16: warning: comparison of integer expressions of different signedness: 'int' and 'size_t' {aka 'long unsigned int'} [-Wsign-compare]
   29 |   if (old_size < target_->capacity()) {
      |       ~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~
",2,2,2
3,3,"INFO: From Compiling tensorflow/core/platform/default/logging.cc:
tensorflow/core/platform/default/logging.cc: In member function 'bool tensorflow::internal::LogFirstNState::ShouldLog(int)':
tensorflow/core/platform/default/logging.cc:369:21: warning: comparison of integer expressions of different signedness: 'const uint32' {aka 'const unsigned int'} and 'int' [-Wsign-compare]
  369 |   if (counter_value < n) {
      |       ~~~~~~~~~~~~~~^~~
",2,0,2
4,4,"INFO: From Compiling tensorflow/core/platform/default/logging.cc [for host]:
tensorflow/core/platform/default/logging.cc: In member function 'bool tensorflow::internal::LogFirstNState::ShouldLog(int)':
tensorflow/core/platform/default/logging.cc:369:21: warning: comparison of integer expressions of different signedness: 'const uint32' {aka 'const unsigned int'} and 'int' [-Wsign-compare]
  369 |   if (counter_value < n) {
      |       ~~~~~~~~~~~~~~^~~
",2,2,2
5,5,"INFO: From Compiling tensorflow/core/lib/strings/proto_serialization.cc [for host]:
tensorflow/core/lib/strings/proto_serialization.cc: In function 'bool tensorflow::SerializeToBufferDeterministic(const google::protobuf::MessageLite&, char*, size_t)':
tensorflow/core/lib/strings/proto_serialization.cc:75:44: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'int' [-Wsign-compare]
   75 |   return !output_stream.HadError() && size == output_stream.ByteCount();
      |                                       ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~
",1,1,1
6,6,"INFO: From Compiling tensorflow/core/lib/strings/proto_serialization.cc:
tensorflow/core/lib/strings/proto_serialization.cc: In function 'bool tensorflow::SerializeToBufferDeterministic(const google::protobuf::MessageLite&, char*, size_t)':
tensorflow/core/lib/strings/proto_serialization.cc:75:44: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'int' [-Wsign-compare]
   75 |   return !output_stream.HadError() && size == output_stream.ByteCount();
      |                                       ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~
",1,1,1
7,7,"INFO: From Compiling tensorflow/core/platform/default/stacktrace_handler.cc:
tensorflow/core/platform/default/stacktrace_handler.cc: In function 'void tensorflow::testing::InstallStacktraceHandler()':
tensorflow/core/platform/default/stacktrace_handler.cc:103:21: warning: comparison of integer expressions of different signedness: 'int' and 'long unsigned int' [-Wsign-compare]
  103 |   for (int i = 0; i < sizeof(handled_signals) / sizeof(int); i++) {
      |                   ~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc:117:18: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
  117 |       (void)write(STDERR_FILENO, buf, strlen(buf));
      |             ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc:124:18: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
  124 |       (void)write(STDERR_FILENO, buf, strlen(buf));
      |             ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc: In function 'void tensorflow::testing::StacktraceHandler(int, siginfo_t*, void*)':
tensorflow/core/platform/default/stacktrace_handler.cc:79:14: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
   79 |   (void)write(STDERR_FILENO, buf, strlen(buf));
      |         ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc:89:14: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
   89 |   (void)write(STDERR_FILENO, stacktrace.c_str(), stacktrace.length());
      |         ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc: In function 'void tensorflow::testing::SafePrintStackTrace()':
tensorflow/core/platform/default/stacktrace_handler.cc:46:14: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
   46 |   (void)write(STDERR_FILENO, begin_msg, strlen(begin_msg));
      |         ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc:57:14: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
   57 |   (void)write(STDERR_FILENO, end_msg, strlen(end_msg));
      |         ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
",1,1,1
8,8,"INFO: From Compiling tensorflow/core/platform/default/stacktrace_handler.cc [for host]:
tensorflow/core/platform/default/stacktrace_handler.cc: In function 'void tensorflow::testing::InstallStacktraceHandler()':
tensorflow/core/platform/default/stacktrace_handler.cc:103:21: warning: comparison of integer expressions of different signedness: 'int' and 'long unsigned int' [-Wsign-compare]
  103 |   for (int i = 0; i < sizeof(handled_signals) / sizeof(int); i++) {
      |                   ~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc:117:18: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
  117 |       (void)write(STDERR_FILENO, buf, strlen(buf));
      |             ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc:124:18: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
  124 |       (void)write(STDERR_FILENO, buf, strlen(buf));
      |             ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc: In function 'void tensorflow::testing::StacktraceHandler(int, siginfo_t*, void*)':
tensorflow/core/platform/default/stacktrace_handler.cc:79:14: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
   79 |   (void)write(STDERR_FILENO, buf, strlen(buf));
      |         ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc:89:14: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
   89 |   (void)write(STDERR_FILENO, stacktrace.c_str(), stacktrace.length());
      |         ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc: In function 'void tensorflow::testing::SafePrintStackTrace()':
tensorflow/core/platform/default/stacktrace_handler.cc:46:14: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
   46 |   (void)write(STDERR_FILENO, begin_msg, strlen(begin_msg));
      |         ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/platform/default/stacktrace_handler.cc:57:14: warning: ignoring return value of 'ssize_t write(int, const void*, size_t)', declared with attribute warn_unused_result [-Wunused-result]
   57 |   (void)write(STDERR_FILENO, end_msg, strlen(end_msg));
      |         ~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
",1,1,1
9,9,"INFO: From Compiling tensorflow/core/framework/cpu_allocator_impl.cc:
tensorflow/core/framework/cpu_allocator_impl.cc: In member function 'virtual void* tensorflow::{anonymous}::CPUAllocator::AllocateRaw(size_t, size_t)':
tensorflow/core/framework/cpu_allocator_impl.cc:78:19: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'int64_t' {aka 'long int'} [-Wsign-compare]
   78 |     if (num_bytes > LargeAllocationWarningBytes() &&
      |         ~~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
[2,299 / 6,140] Compiling external/aws/aws-cpp-sdk-s3/source/model/PutObjectAclRequest.cpp; 2s local ... (16 actions, 15 running)
[2,573 / 6,140] Compiling external/llvm-project/llvm/lib/Support/ItaniumManglingCanonicalizer.cpp; 7s local ... (16 actions, 15 running)
[2,964 / 6,140] Compiling external/aws/aws-cpp-sdk-s3/source/model/ListPartsRequest.cpp [for host]; 1s local ... (16 actions, 15 running)
",1,0,0
